Month,Day,Year,Age,Wing,Weight,Culmen,Hallux,Tail,StandardTail,KeelFat,Crop,Species
9,19,1992,I,385.0,920.0,25.7,30.1,219,199.18213660245183,2.184303350970018,0.23453982300884954,RT
9,22,1992,I,376.0,930.0,21.801498335183123,26.410864745011082,221,199.18213660245183,2.184303350970018,0.23453982300884954,RT
9,23,1992,I,381.0,990.0,26.7,31.3,235,199.18213660245183,2.184303350970018,0.23453982300884954,RT
9,23,1992,I,265.0,470.0,18.7,23.5,220,199.18213660245183,2.184303350970018,0.23453982300884954,CH
9,27,1992,I,205.0,170.0,12.5,14.3,157,199.18213660245183,2.184303350970018,0.23453982300884954,SS
9,28,1992,I,412.0,1090.0,28.5,32.2,230,199.18213660245183,2.184303350970018,0.23453982300884954,RT
9,28,1992,I,370.0,960.0,25.3,30.1,212,199.18213660245183,2.184303350970018,0.23453982300884954,RT
9,29,1992,A,375.0,855.0,27.2,30.0,243,199.18213660245183,2.184303350970018,0.23453982300884954,RT
9,29,1992,A,412.0,1210.0,29.3,31.3,210,199.18213660245183,2.184303350970018,0.23453982300884954,RT
9,30,1992,I,405.0,1120.0,26.0,30.2,238,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,5,1992,I,393.0,1010.0,26.3,30.8,222,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,8,1992,I,371.0,1010.0,25.4,29.7,217,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,9,1992,A,390.0,1120.0,28.9,30.9,213,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,10,1992,A,393.0,772.0801781737193,28.2,30.6,238,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,11,1992,I,416.0,1170.0,26.5,34.0,243,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,11,1992,A,436.0,1390.0,30.5,34.0,232,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,11,1992,I,418.0,1150.0,27.1,31.0,238,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,11,1992,A,381.0,950.0,28.9,28.9,202,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,12,1992,I,378.0,910.0,25.7,28.2,227,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,13,1992,I,396.0,1010.0,24.0,26.9,227,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,13,1992,I,399.0,1070.0,26.4,31.2,222,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,14,1992,I,416.0,1190.0,28.8,31.6,237,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,17,1992,I,415.0,101.0,24.9,30.7,238,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,22,1992,A,392.0,1330.0,27.0,30.3,213,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,23,1992,I,380.0,990.0,26.0,30.0,211,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,23,1992,I,173.0,100.0,21.801498335183123,26.410864745011082,130,199.18213660245183,2.184303350970018,0.23453982300884954,SS
10,24,1992,I,399.0,1100.0,26.2,32.5,190,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,25,1992,A,401.0,1190.0,28.6,31.6,245,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,27,1992,I,205.0,180.0,11.7,15.0,164,199.18213660245183,2.184303350970018,0.23453982300884954,SS
10,27,1992,I,427.0,1490.0,30.1,32.4,246,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,27,1992,A,395.0,1040.0,27.1,31.4,207,199.18213660245183,2.184303350970018,0.23453982300884954,RT
10,30,1992,I,362.0,820.0,24.9,27.9,209,199.18213660245183,2.184303350970018,0.23453982300884954,RT
11,3,1992,A,396.0,1030.0,26.0,29.7,200,199.18213660245183,2.184303350970018,0.23453982300884954,RT
11,8,1992,A,391.0,1300.0,25.5,32.4,215,199.18213660245183,2.184303350970018,0.23453982300884954,RT
