Month,Day,Year,Age,Wing,Weight,Culmen,Hallux,Tail,StandardTail,KeelFat,Crop,Species
Sep,Week3,Year-1992,I,300->400,500->1000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week4,Year-1992,I,300->400,500->1000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week4,Year-1992,I,300->400,500->1000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week4,Year-1992,I,200->300,0->500,10->20,0->50,200->250,150->200,2->3,0->1,CH
Sep,Week4,Year-1992,I,200->300,0->500,10->20,0->50,150->200,150->200,2->3,0->1,SS
Sep,Week4,Year-1992,I,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week4,Year-1992,I,300->400,500->1000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week5,Year-1992,A,300->400,500->1000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week5,Year-1992,A,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week5,Year-1992,I,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week1,Year-1992,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week2,Year-1992,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week2,Year-1992,A,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week2,Year-1992,A,300->400,500->1000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week2,Year-1992,I,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week2,Year-1992,A,400->500,1000->1500,30->40,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week2,Year-1992,I,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week2,Year-1992,A,300->400,500->1000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week2,Year-1992,I,300->400,500->1000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week2,Year-1992,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week2,Year-1992,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week2,Year-1992,I,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week3,Year-1992,I,400->500,0->500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week4,Year-1992,A,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week4,Year-1992,I,300->400,500->1000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week4,Year-1992,I,100->200,0->500,20->30,0->50,100->150,150->200,2->3,0->1,SS
Oct,Week4,Year-1992,I,300->400,1000->1500,20->30,0->50,150->200,150->200,2->3,0->1,RT
Oct,Week4,Year-1992,A,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week4,Year-1992,I,200->300,0->500,10->20,0->50,150->200,150->200,2->3,0->1,SS
Oct,Week4,Year-1992,I,400->500,1000->1500,30->40,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week4,Year-1992,A,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week5,Year-1992,I,300->400,500->1000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Nov,Week1,Year-1992,A,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Nov,Week2,Year-1992,A,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Nov,Week2,Year-1992,A,400->500,1500->2000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Nov,Week2,Year-1992,A,300->400,1000->1500,20->30,0->50,150->200,150->200,2->3,0->1,RT
Nov,Week3,Year-1992,A,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Nov,Week3,Year-1992,A,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Nov,Week4,Year-1992,A,400->500,1500->2000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week2,Year-1993,I,100->200,0->500,0->10,100->150,100->150,150->200,2->3,0->1,SS
Sep,Week3,Year-1993,I,100->200,0->500,0->10,0->50,100->150,150->200,2->3,0->1,SS
Sep,Week3,Year-1993,I,200->300,0->500,10->20,0->50,150->200,150->200,2->3,0->1,CH
Sep,Week3,Year-1993,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week4,Year-1993,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week4,Year-1993,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week4,Year-1993,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week4,Year-1993,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week4,Year-1993,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week4,Year-1993,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week4,Year-1993,I,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week4,Year-1993,I,400->500,500->1000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week5,Year-1993,I,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week5,Year-1993,I,200->300,0->500,10->20,0->50,150->200,150->200,2->3,0->1,SS
Sep,Week5,Year-1993,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week5,Year-1993,I,300->400,500->1000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week1,Year-1993,I,200->300,0->500,10->20,0->50,200->250,150->200,2->3,0->1,CH
Oct,Week1,Year-1993,A,200->300,0->500,10->20,0->50,150->200,150->200,2->3,0->1,CH
Oct,Week1,Year-1993,I,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week1,Year-1993,I,200->300,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week1,Year-1993,I,400->500,1000->1500,30->40,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week2,Year-1993,I,0->100,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week2,Year-1993,I,300->400,500->1000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week2,Year-1993,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week2,Year-1993,I,300->400,500->1000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week2,Year-1993,I,100->200,0->500,10->20,0->50,100->150,150->200,2->3,0->1,SS
Oct,Week2,Year-1993,I,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week2,Year-1993,I,200->300,0->500,10->20,0->50,200->250,150->200,2->3,0->1,CH
Oct,Week2,Year-1993,A,100->200,0->500,0->10,0->50,100->150,150->200,2->3,0->1,SS
Oct,Week2,Year-1993,A,100->200,500->1000,10->20,0->50,150->200,150->200,2->3,0->1,SS
Oct,Week3,Year-1993,A,300->400,1000->1500,30->40,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week3,Year-1993,A,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week4,Year-1993,A,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week4,Year-1993,I,400->500,1000->1500,20->30,0->50,250->300,150->200,2->3,0->1,RT
Oct,Week4,Year-1993,A,400->500,1000->1500,30->40,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week4,Year-1993,A,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Oct,Week5,Year-1993,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Nov,Week1,Year-1993,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Nov,Week3,Year-1993,I,400->500,1500->2000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week1,Year-1994,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week1,Year-1994,I,300->400,500->1000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week1,Year-1994,I,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week1,Year-1994,I,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week2,Year-1994,I,200->300,0->500,10->20,0->50,150->200,150->200,2->3,0->1,SS
Sep,Week2,Year-1994,I,200->300,0->500,10->20,0->50,150->200,150->200,2->3,0->1,SS
Sep,Week2,Year-1994,I,100->200,0->500,0->10,0->50,100->150,150->200,2->3,0->1,SS
Sep,Week2,Year-1994,A,200->300,0->500,10->20,0->50,150->200,150->200,2->3,0->1,CH
Sep,Week2,Year-1994,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week2,Year-1994,I,300->400,1000->1500,10->20,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week3,Year-1994,I,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week3,Year-1994,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week3,Year-1994,I,400->500,1000->1500,20->30,300->350,200->250,150->200,2->3,0->1,RT
Sep,Week3,Year-1994,I,300->400,500->1000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week3,Year-1994,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Aug,Week3,Year-1994,A,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week3,Year-1994,I,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week3,Year-1994,I,400->500,1000->1500,30->40,300->350,200->250,150->200,2->3,0->1,RT
Sep,Week3,Year-1994,I,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week3,Year-1994,A,200->300,0->500,10->20,0->50,150->200,150->200,2->3,0->1,SS
Sep,Week3,Year-1994,I,200->300,0->500,10->20,0->50,150->200,150->200,2->3,0->1,SS
Sep,Week3,Year-1994,I,100->200,0->500,10->20,0->50,100->150,150->200,2->3,0->1,SS
Sep,Week3,Year-1994,I,100->200,0->500,0->10,0->50,100->150,150->200,2->3,0->1,SS
Sep,Week5,Year-1994,I,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week3,Year-1994,A,100->200,0->500,10->20,100->150,150->200,150->200,2->3,0->1,SS
Sep,Week5,Year-1994,I,200->300,0->500,10->20,0->50,150->200,150->200,2->3,0->1,SS
Sep,Week3,Year-1994,I,300->400,500->1000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week4,Year-1994,I,300->400,500->1000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week4,Year-1994,I,100->200,0->500,0->10,0->50,100->150,150->200,2->3,0->1,SS
Sep,Week4,Year-1994,I,200->300,0->500,10->20,0->50,200->250,150->200,2->3,0->1,CH
Sep,Week4,Year-1994,I,400->500,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week4,Year-1994,I,400->500,500->1000,20->30,0->50,200->250,150->200,2->3,0->1,RT
Sep,Week4,Year-1994,I,200->300,0->500,10->20,0->50,200->250,150->200,2->3,0->1,CH
Sep,Week4,Year-1994,I,100->200,0->500,10->20,0->50,100->150,150->200,2->3,0->1,SS
Sep,Week4,Year-1994,I,300->400,1000->1500,20->30,0->50,200->250,150->200,2->3,0->1,RT
